Node	t1	t2	t3	t4	t5
1	0.3076	0.2559	1.3383	0.7344	0.7196
2	0.6164	2.0329	1.1731	3.5777	1.0551
3	1.1572	2.739	0.4791	0.3313	0.435
4	2.0853	1.3472	0.771	1.023	0.9209
5	0.3802	0.9319	0.4285	1.8603	0.7099
6	0.5539	0.9459	0.4924	0.4191	1.6053
7	3.6646	1.1057	1.6744	0.3195	0.3423
8	0.5297	0.7089	0.5473	0.876	3.9752
9	1.2713	0.4877	0.3876	1.0312	0.9768
10	0.6464	4.3423	1.4362	1.207	0.2855
11	2.3458	3.0088	0.6805	0.3808	0.9397
12	0.4635	0.236	0.9737	0.6304	2.5827
13	0.3565	0.6636	0.2918	2.7984	0.5247
14	0.665	0.2989	3.8407	1.2025	0.2723
15	1.7755	0.5218	0.6413	3.4161	0.9561
16	0.5413	0.8164	1.5704	2.5455	0.3268
17	0.3988	1.2019	0.2705	1.7158	0.3998
18	1.2179	0.3177	0.3289	0.4158	1.527
19	1.9205	0.8568	2.5447	0.3261	0.3933
20	1.1151	1.8052	0.5856	1.3633	0.8393
21	2.0111	1.1067	1.6873	0.3441	0.5456
22	0.8592	2.6452	0.406	1.3281	0.6936
23	0.455	3.5209	1.021	0.9073	0.3231
24	0.3699	0.8076	1.4414	1.2382	0.3801
25	0.9311	0.425	1.7575	0.4842	0.3639
26	0.7408	0.7674	0.9888	0.7122	0.5684
27	1.1177	1.8446	0.6736	0.3439	0.5435
28	0.8376	1.9717	0.993	0.7359	0.7307
29	0.6927	0.4493	2.8763	0.5833	1.3274
30	0.6912	0.4406	2.3283	2.7832	0.513
31	0.5704	1.1429	2.3221	2.7123	0.4585
32	4.3108	1.4233	1.1338	2.1248	1.4942
33	1.6089	3.8953	1.231	0.3576	0.6747
34	0.3497	0.597	1.5651	2.447	0.2468
35	1.1563	2.7062	0.4537	3.3361	0.9049
36	0.3131	0.295	3.14	0.7732	1.044
37	1.0698	1.2851	0.5349	0.7559	0.8876
38	0.2443	1.1116	1.755	0.479	0.3306
39	0.4299	1.9058	0.8197	1.6249	0.227
40	0.8437	2.1207	1.4784	1.4854	1.5385
41	2.0541	1.2411	0.3892	1.0544	1.1517
42	2.5591	0.3377	0.4888	0.395	1.1403
43	2.2611	2.1902	1.7805	0.5325	0.7339
44	0.7162	0.594	1.509	1.7394	0.4472
45	2.7085	0.4555	3.604	1.0706	1.2916
46	0.5578	0.9892	0.7142	0.5812	1.2954
47	0.5712	1.1536	2.6184	0.3849	0.9938
48	0.7404	0.7645	0.9629	0.575	1.2055
49	0.2811	2.1196	1.4741	1.4539	1.316
50	0.6471	4.5621	1.5193	1.8392	0.6614
