RP_Order,RP_Node_ID,X,Y
1,55,173.85087174826083,96.73277235240265
2,41,198.5388149115895,38.135010171614184
3,534,212.77329458446593,172.34339499244905
4,86,307.2558349795686,135.89746511876277
5,478,311.35062316970254,28.17958006503303
6,142,346.9680845977044,21.56536427804525
7,248,350.1936671105232,46.640782178990904
8,567,409.95525819575755,45.67851569418011
9,292,380.04051259003546,144.08737126691585
10,766,429.69040453391614,163.57440044012026
11,887,472.14203175317704,189.24413744880763
12,627,411.3391723373828,258.1835369396776
13,744,233.13486076220744,269.2161735735184
14,710,189.6936629860503,304.34088521303545
15,238,44.27793884123932,332.31257064079244
16,608,49.42862736950562,408.29958124482783
17,12,273.64199053022156,471.10557683580817
18,753,348.10342153639937,320.1615280361271
19,649,381.85814972618203,423.8854358921407
20,754,364.7430556760668,458.92995692527694
21,209,403.51107364622305,451.42471766260803
22,412,322.4373617627537,551.9133698476563
23,604,164.17599976899953,598.2747000946267
24,114,535.227933106268,378.6831755983577
25,358,498.3716446726375,579.0161463999076
