Node	X	Y
1	9.5272	10.1279
2	25.7479	27.8522
3	66.3467	72.2145
4	67.9618	83.2491
5	72.0043	10.8676
6	82.1223	29.7035
7	7.4467	76.8481
8	20.5407	94.8467
9	53.3136	39.8955
10	35.3411	2.3577
11	90.3577	8.404
12	28.0591	23.5372
13	72.1316	61.4144
14	82.4409	56.2176
15	8.2441	43.2103
16	22.5365	10.6544
17	58.309	29.1698
18	47.8441	75.5122
19	21.6516	91.503
20	56.094	31.5264
21	42.3003	81.4106
22	7.7759	6.2662
23	21.3645	18.1867
24	55.3755	48.0224
25	40.502	22.6987
26	3.2748	59.3156
27	10.0987	50.9643
28	27.1784	30.062
29	69.9271	77.7452
30	76.9232	97.0921
31	94.4338	45.5154
32	38.2613	16.4239
33	97.6668	43.6104
34	46.3531	11.6557
35	17.9197	31.6759
36	46.7536	81.7849
37	18.9222	7.2029
38	49.2627	20.5311
39	25.2021	53.8904
40	64.9808	37.3857
41	64.5431	96.0759
42	63.4475	42.972
43	60.7055	10.0578
44	53.8424	27.6767
45	36.6647	71.7752
46	93.6704	82.1496
47	36.3506	8.1158
48	92.8843	22.816
49	34.3831	59.6092
50	87.9598	51.6992
